  x-r-uv           y-r-uv    x-s-uv           y-s-uv    x-r-ecd       y-r-ecd    x-s-ecd        y-s-ecd
   249.2    573.634           249.2    737.727            249.2   2.49655          249.2   -0.385734
   249.4    577.68            249.4    729.744            249.4   2.5172           249.4   -0.376792
   249.6    581.24            249.6    721.067            249.6   2.53522          249.6   -0.367651
   249.8    584.286           249.8    711.708            249.8   2.55055          249.8   -0.358324
   250      586.796           250      701.684            250     2.56315          250     -0.348825
   250.2    588.75            250.2    691.017            250.2   2.57298          250.2   -0.339169
   250.4    590.129           250.4    679.73             250.4   2.58001          250.4   -0.329377
   250.6    590.92            250.6    667.853            250.6   2.58421          250.6   -0.319467
   250.8    591.109           250.8    655.416            250.8   2.58557          250.8   -0.309462
   251      590.689           251      642.453            251     2.58409          251     -0.299385
   251.2    589.652           251.2    629.001            251.2   2.57976          251.2   -0.289258
   251.4    587.996           251.4    615.097            251.4   2.5726           251.4   -0.279106
   251.6    585.72            251.6    600.781            251.6   2.56264          251.6   -0.268953
   251.8    582.826           251.8    586.095            251.8   2.54989          251.8   -0.258822
   252      579.319           252      571.081            252     2.5344           252     -0.248737
   252.2    575.206           252.2    555.782            252.2   2.51622          252.2   -0.238722
   252.4    570.499           252.4    540.241            252.4   2.49541          252.4   -0.228797
   252.6    565.208           252.6    524.501            252.6   2.47203          252.6   -0.218986
   252.8    559.349           252.8    508.607            252.8   2.44615          252.8   -0.209307
